TimeStep,V[1],V[2],V[3],V[4],V[5],V[6],V[7],V[8],V[9],V[10],V[11],V[12],V[13],V[14],V[15],V[16],V[17],V[18],V[19],V[20],V[21],V[22],V[23],V[24],V[25],V[26]
999,-0.557378,-0.582842,-0.574415,-0.52489,-0.448968,-0.336128,-0.212439,-0.0633469,0.0764196,0.225533,0.346058,0.45848,0.529692,0.577498,0.581677,0.553145,0.488893,0.391689,0.274225,0.133341,-0.00900985,-0.157731,-0.290395,-0.409237,-0.499977,-0.558747
1000,-0.518412,-0.5522,-0.553976,-0.51492,-0.451778,-0.349782,-0.23728,-0.0977076,0.0360561,0.178883,0.300067,0.41151,0.488943,0.542511,0.555713,0.539267,0.483939,0.402387,0.291645,0.165754,0.0266459,-0.111775,-0.245333,-0.361126,-0.456745,-0.520441
1001,-0.474528,-0.516673,-0.527307,-0.501275,-0.448659,-0.361834,-0.257991,-0.132955,-0.00292458,0.12893,0.25259,0.359351,0.444552,0.501364,0.525224,0.519456,0.474983,0.408631,0.306754,0.19615,0.0624064,-0.0650759,-0.19756,-0.309936,-0.408642,-0.477659
1002,-0.426303,-0.476338,-0.495042,-0.483574,-0.44032,-0.371289,-0.275467,-0.16744,-0.0416268,0.0777272,0.202534,0.303903,0.39583,0.45519,0.490215,0.493738,0.462689,0.409454,0.320531,0.223016,0.0991224,-0.0191404,-0.146719,-0.25666,-0.356009,-0.430527
1003,-0.374216,-0.431222,-0.458174,-0.461023,-0.428048,-0.376656,-0.291082,-0.199211,-0.0813145,0.0273563,0.148902,0.247013,0.342139,0.405302,0.450398,0.462746,0.447009,0.404832,0.332997,0.245856,0.136697,0.0253737,-0.0931863,-0.201768,-0.299587,-0.379065
1004,-0.318638,-0.38152,-0.417628,-0.433005,-0.412966,-0.376807,-0.305735,-0.227011,-0.12241,-0.0210501,0.0916937,0.189668,0.28357,0.352658,0.405585,0.427468,0.427295,0.395684,0.343128,0.265337,0.173942,0.0687837,-0.0381315,-0.145234,-0.240366,-0.32345
1005,-0.25991,-0.327733,-0.373919,-0.399583,-0.395424,-0.371631,-0.319221,-0.250862,-0.164,-0.0677195,0.032232,0.131702,0.221215,0.297548,0.356035,0.388825,0.402784,0.38334,0.349408,0.282742,0.209087,0.111926,0.0168949,-0.0868728,-0.179307,-0.264204
1006,-0.198454,-0.270644,-0.327078,-0.361611,-0.374886,-0.362088,-0.330273,-0.27189,-0.204153,-0.113829,-0.0273032,0.072216,0.156849,0.239714,0.302563,0.347308,0.373176,0.368786,0.350693,0.299081,0.240645,0.155393,0.070588,-0.0267826,-0.117098,-0.202193
1007,-0.134855,-0.211151,-0.276896,-0.320395,-0.35037,-0.349644,-0.337271,-0.291491,-0.240859,-0.160517,-0.0848557,0.0104588,0.0922131,0.178827,0.246329,0.302911,0.338951,0.352141,0.346864,0.314378,0.268111,0.198928,0.122364,0.0343841,-0.0540924,-0.138436
1008,-0.0698555,-0.150048,-0.223319,-0.277115,-0.321169,-0.335422,-0.339172,-0.310351,-0.273032,-0.20792,-0.139409,-0.0533675,0.0283186,0.115023,0.188429,0.25538,0.301239,0.332678,0.338883,0.327573,0.29208,0.241337,0.172398,0.095475,0.00954377,-0.0738445
1009,-0.00427126,-0.0878885,-0.16677,-0.232349,-0.287421,-0.319598,-0.336103,-0.327915,-0.300965,-0.254805,-0.191288,-0.117858,-0.03481,0.0491903,0.129544,0.20463,0.261327,0.309364,0.328229,0.337077,0.313723,0.280969,0.221213,0.155191,0.073568,-0.00903588
1010,0.0611332,-0.0250067,-0.108192,-0.185979,-0.250179,-0.301382,-0.329266,-0.342616,-0.325966,-0.299041,-0.241654,-0.180882,-0.0977935,-0.017199,0.0698546,0.151074,0.220093,0.2816,0.316047,0.341668,0.333931,0.316482,0.269073,0.212527,0.137443,0.0556656
1011,0.125729,0.038326,-0.0487898,-0.137537,-0.210954,-0.279608,-0.320211,-0.352739,-0.349399,-0.338628,-0.291504,-0.2405,-0.161157,-0.0826027,0.00927535,0.0956571,0.177714,0.249706,0.302518,0.341169,0.352657,0.347423,0.315538,0.267034,0.200296,0.120049
1012,0.189024,0.101702,0.0103635,-0.0867548,-0.171003,-0.253554,-0.309924,-0.357389,-0.371698,-0.372669,-0.340761,-0.295794,-0.224642,-0.145973,-0.0521425,0.0395797,0.133798,0.214886,0.286828,0.336525,0.368832,0.374297,0.359468,0.318759,0.261088,0.183773
1013,0.250592,0.164466,0.0686349,-0.0340093,-0.130792,-0.223505,-0.298278,-0.35698,-0.391962,-0.401693,-0.388026,-0.347092,-0.286979,-0.20703,-0.113882,-0.0161168,0.0878789,0.17867,0.267744,0.329227,0.38091,0.398075,0.399448,0.367895,0.318883,0.246199
1014,0.309963,0.225749,0.125867,0.0196306,-0.0899607,-0.190719,-0.28418,-0.352952,-0.408373,-0.427146,-0.43113,-0.395464,-0.34629,-0.266073,-0.174917,-0.0708627,0.039945,0.142192,0.24445,0.320435,0.387722,0.419443,0.434404,0.414368,0.373065,0.306421
1015,0.366557,0.28464,0.182129,0.0727585,-0.0477812,-0.156819,-0.266315,-0.346886,-0.419192,-0.450343,-0.468184,-0.441775,-0.400864,-0.323447,-0.233984,-0.124578,-0.00929515,0.105716,0.217147,0.310315,0.389107,0.438254,0.46402,0.457595,0.423381,0.363457
1016,0.419699,0.34039,0.237345,0.124182,-0.00384671,-0.122989,-0.244036,-0.33956,-0.423731,-0.471509,-0.498486,-0.485873,-0.449868,-0.378983,-0.290008,-0.177397,-0.0585767,0.0686934,0.187057,0.298001,0.385968,0.453497,0.488724,0.496583,0.469774,0.416501
1017,0.468701,0.392517,0.291016,0.173337,0.0414438,-0.0894498,-0.217862,-0.330501,-0.422717,-0.489501,-0.522747,-0.526401,-0.493549,-0.431758,-0.342425,-0.229268,-0.106569,0.0303118,0.155835,0.282182,0.379711,0.463812,0.509252,0.53028,0.512129,0.465082
1018,0.512978,0.440782,0.34222,0.220324,0.0868869,-0.0555319,-0.189282,-0.318326,-0.417823,-0.502376,-0.542493,-0.56136,-0.532815,-0.480331,-0.391207,-0.279683,-0.152397,-0.00980282,0.124739,0.261965,0.371404,0.468227,0.526055,0.557999,0.550074,0.509044
1019,0.552119,0.485023,0.389863,0.265549,0.130959,-0.0202913,-0.159984,-0.301642,-0.410648,-0.50847,-0.558996,-0.589083,-0.568428,-0.523313,-0.436571,-0.327694,-0.19589,-0.0511462,0.0940523,0.237508,0.361173,0.466692,0.538908,0.579635,0.582968,0.548354
1020,0.585876,0.524982,0.433057,0.309206,0.17249,0.0167129,-0.130985,-0.279976,-0.401767,-0.507347,-0.57238,-0.609064,-0.600309,-0.559943,-0.478557,-0.372205,-0.237408,-0.0924201,0.0630996,0.210032,0.348173,0.460076,0.546956,0.595565,0.610072,0.582873
1021,0.614092,0.560206,0.47138,0.3509,0.211111,0.0549499,-0.102184,-0.254159,-0.390412,-0.500037,-0.581439,-0.622112,-0.627366,-0.590314,-0.516734,-0.412377,-0.277371,-0.132087,0.0308366,0.181214,0.331169,0.449641,0.549165,0.606291,0.630812,0.612208
1022,0.6366,0.590099,0.504873,0.389648,0.247235,0.0930384,-0.0725959,-0.225944,-0.374994,-0.488421,-0.584283,-0.629755,-0.647968,-0.615112,-0.550215,-0.447871,-0.315766,-0.169062,-0.00334084,0.152331,0.309361,0.436315,0.544904,0.612042,0.644971,0.635762
