TimeStep,Vn[1],Vn[2],Vn[3],Vn[4],Vn[5],Vn[6],Vn[7],Vn[8],Vn[9],Vn[10],Vn[11]
32,0.00555619,0.00890178,-0.0185028,0.0268962,0.00162038,0.00918249,0.119827,-0.0680091,-0.0395199,0.0412928,-0.0931672
33,0.00722898,-0.00319761,0.00661685,-0.00674969,0.0563809,-0.0197887,0.112147,-0.0324461,-0.161895,0.0596793,0.072544
34,0.00201569,-0.0102367,0.0259412,-0.0212713,0.0763164,0.00326646,0.0353345,0.006903,-0.196514,0.0258885,0.176586
35,-0.00411052,-0.00516826,0.024418,0.000407127,0.0535924,0.0526011,-0.056603,0.00250568,-0.124679,-0.0258287,0.170598
36,-0.00463939,0.00756121,0.00949547,0.0413846,0.0173244,0.0748825,-0.106462,-0.0484649,0.00366566,-0.0531516,0.0683931
37,0.00146091,0.0177241,0.00206166,0.0683747,0.00146087,0.0374382,-0.096486,-0.100902,0.104773,-0.035884,-0.060516
38,0.0095925,0.0199056,0.0151217,0.0620581,0.0113202,-0.0424815,-0.0541327,-0.100817,0.119297,0.0103899,-0.134139
39,0.014749,0.0183128,0.0411119,0.0313229,0.0204136,-0.111864,-0.0205376,-0.0340317,0.0515661,0.0477582,-0.110957
40,0.0165309,0.0215289,0.058955,0.000307641,-0.000835001,-0.125345,-0.0131475,0.0575262,-0.0385163,0.0463997,-0.0161445
41,0.0190299,0.032852,0.0527798,-0.0163315,-0.0529254,-0.0796493,-0.0161383,0.107405,-0.0833591,0.00817611,0.0783359
42,0.025941,0.0457015,0.0243448,-0.0248413,-0.102548,-0.0113951,-0.00412107,0.078707,-0.0576271,-0.0353913,0.106243
43,0.0358212,0.0482717,-0.0110475,-0.0404813,-0.109956,0.0358894,0.0267847,-0.00478155,0.00774745,-0.0491091,0.0540306
44,0.0420465,0.0328995,-0.0389685,-0.0661316,-0.0635339,0.0444363,0.0520751,-0.0772463,0.0557756,-0.0228278,-0.0323476
