freq_Hz,abs_Hz
1.4442e+09,2.58677
1.44825e+09,4.01217
1.45231e+09,6.04914
1.45637e+09,0.943622
1.46042e+09,3.73882
1.46448e+09,4.3672
1.46854e+09,4.40209
1.47259e+09,14.2722
1.47665e+09,14.6553
1.48071e+09,3.39438
1.48476e+09,1.36477
1.48882e+09,4.11479
1.49288e+09,3.98487
1.49693e+09,11.8181
1.50099e+09,8.09335
1.50505e+09,3.96607
1.5091e+09,4.23089
1.51316e+09,10.2623
1.51722e+09,1.73755
1.52127e+09,15.0877
1.52533e+09,6.36856
1.52939e+09,7.79347
1.53344e+09,20.3662
1.5375e+09,3.03549
1.54156e+09,1.34784
1.54561e+09,0.641578
1.54967e+09,3.74202
1.55373e+09,1.83183
1.55778e+09,3.8911
1.56184e+09,2.76091
1.5659e+09,6.41797
1.56995e+09,7.08208
1.57401e+09,4.60474
1.57807e+09,9.67357
1.58212e+09,3.91547
1.58618e+09,1.59776
1.59024e+09,26.3052
1.59429e+09,16.7847
1.59835e+09,6.32527
1.60241e+09,7.25202
1.60646e+09,10.2522
1.61052e+09,9.31783
1.61458e+09,12.9075
1.61863e+09,10.502
1.62269e+09,12.7402
1.62675e+09,21.0964
1.6308e+09,12.7411
1.63486e+09,0.413893
1.63892e+09,4.82892
1.64298e+09,0.0351962
1.64703e+09,13.8408
1.65109e+09,3.51951
1.65515e+09,13.4893
1.6592e+09,24.7577
1.66326e+09,4.39645
1.66732e+09,6.55297
1.67137e+09,29.0359
1.67543e+09,7.49497
1.67949e+09,3.72693
1.68354e+09,22.5743
1.6876e+09,6.81188
1.69166e+09,16.9153
1.69571e+09,8.11913
1.69977e+09,4.29062
1.70383e+09,7.09309
1.70788e+09,10.564
1.71194e+09,21.5255
1.716e+09,8.87931
1.72005e+09,8.63439
1.72411e+09,3.77364
1.72817e+09,11.53
1.73222e+09,1.61014
1.73628e+09,8.73612
1.74034e+09,0.817237
1.74439e+09,9.89069
1.74845e+09,5.02334
1.75251e+09,9.29555
1.75656e+09,4.57681
1.76062e+09,3.06563
1.76468e+09,0.578193
1.76873e+09,1.63942
1.77279e+09,4.55388
1.77685e+09,11.8395
1.7809e+09,5.2279
1.78496e+09,49.7265
1.78902e+09,7.21952
1.79307e+09,5.84204
1.79713e+09,9.13835
1.80119e+09,2.63252
1.80524e+09,5.14831
1.8093e+09,15.377
1.81336e+09,2.84994
1.81741e+09,2.18814
1.82147e+09,2.78824
1.82553e+09,36.5744
1.82958e+09,7.93149
1.83364e+09,0.927689
1.8377e+09,10.2861
1.84175e+09,12.8645
1.84581e+09,17.5359
1.84987e+09,12.2209
1.85393e+09,4.20116
1.85798e+09,5.16797
1.86204e+09,4.88366
1.8661e+09,6.91205
1.87015e+09,23.6532
1.87421e+09,25.7786
1.87827e+09,9.60853
1.88232e+09,16.1653
1.88638e+09,2.29364
1.89044e+09,12.3666
1.89449e+09,23.4276
1.89855e+09,12.4934
1.90261e+09,4.88633
1.90666e+09,4.90268
1.91072e+09,33.3638
1.91478e+09,14.9213
1.91883e+09,14.8509
1.92289e+09,11.2382
1.92695e+09,36.2143
1.931e+09,16.4695
1.93506e+09,10.8999
1.93912e+09,5.10008
1.94317e+09,28.6898
1.94723e+09,11.9464
1.95129e+09,23.6686
1.95534e+09,9.71126
1.9594e+09,2.41871
1.96346e+09,17.4144
1.96751e+09,2.22695
1.97157e+09,5.1959
1.97563e+09,6.62091
1.97968e+09,3.39797
1.98374e+09,3.17043
1.9878e+09,26.3014
1.99185e+09,27.2945
1.99591e+09,7.29324
1.99997e+09,20.3408
2.00402e+09,9.95033
2.00808e+09,16.8744
2.01214e+09,9.89833
2.01619e+09,6.6488
2.02025e+09,5.66371
2.02431e+09,27.0624
2.02836e+09,50.787
2.03242e+09,5.68398
2.03648e+09,20.8176
2.04053e+09,19.1045
2.04459e+09,9.64738
2.04865e+09,12.6343
2.0527e+09,11.6365
2.05676e+09,1.42166
2.06082e+09,1.62383
2.06487e+09,5.17753
2.06893e+09,5.72837
2.07299e+09,3.58011
2.07705e+09,2.15739
2.0811e+09,22.3972
2.08516e+09,5.54266
2.08922e+09,13.5354
2.09327e+09,12.9508
2.09733e+09,16.5314
2.10139e+09,11.5368
2.10544e+09,6.3954
2.1095e+09,8.93018
2.11356e+09,26.1469
2.11761e+09,14.0323
2.12167e+09,21.1634
2.12573e+09,24.0181
2.12978e+09,4.10298
2.13384e+09,5.64271
2.1379e+09,33.0229
2.14195e+09,8.11462
2.14601e+09,1.76947
2.15007e+09,5.32838
2.15412e+09,5.92007
2.15818e+09,0.196714
2.16224e+09,2.56684
