z,V_fem,V_analitico
0.3333333333,0.4950626645,0.5000000000
0.3364779874,0.5124630819,0.5170126056
0.3396226415,0.5298634992,0.5338233780
0.3427672956,0.5472639165,0.5504257546
0.3459119497,0.5631995808,0.5668132541
0.3490566038,0.5784694484,0.5829794791
0.3522012579,0.5937393160,0.5989181186
0.3553459119,0.6090091835,0.6146229504
0.3584905660,0.6242790511,0.6300878436
0.3616352201,0.6395489187,0.6453067609
0.3647798742,0.6548187863,0.6602737612
0.3679245283,0.6700886538,0.6749830015
0.3710691824,0.6853585214,0.6894287397
0.3742138365,0.7006283890,0.7036053363
0.3773584906,0.7138616371,0.7175072570
0.3805031447,0.7264160122,0.7311290749
0.3836477987,0.7389703872,0.7444654720
0.3867924528,0.7515247622,0.7575112422
0.3899371069,0.7640791373,0.7702612925
0.3930817610,0.7766335123,0.7827106456
0.3962264151,0.7891878873,0.7948544414
0.3993710692,0.8017422623,0.8066879392
0.4025157233,0.8142966374,0.8182065195
0.4056603774,0.8268510124,0.8294056855
0.4088050314,0.8368083019,0.8402810652
0.4119496855,0.8461662639,0.8508284131
0.4150943396,0.8555242260,0.8610436118
0.4182389937,0.8648821880,0.8709226732
0.4213836478,0.8742401501,0.8804617410
0.4245283019,0.8835981121,0.8896570910
0.4276729560,0.8929560741,0.8985051337
0.4308176101,0.9023140362,0.9070024148
0.4339622642,0.9116719982,0.9151456172
0.4371069182,0.9210299603,0.9229315620
0.4402515723,0.9272773949,0.9303572096
0.4433962264,0.9330804685,0.9374196611
0.4465408805,0.9388835422,0.9441161596
0.4496855346,0.9446866158,0.9504440907
0.4528301887,0.9504896894,0.9564009843
0.4559748428,0.9562927630,0.9619845147
0.4591194969,0.9620958366,0.9671925024
0.4622641509,0.9678989102,0.9720229141
0.4654088050,0.9737019838,0.9764738642
0.4685534591,0.9795050574,0.9805436150
0.4716981132,0.9817670184,0.9842305779
0.4748427673,0.9837929053,0.9875333135
0.4779874214,0.9858187921,0.9904505325
0.4811320755,0.9878446790,0.9929810960
0.4842767296,0.9898705658,0.9951240162
0.4874213836,0.9918964526,0.9968784564
0.4905660377,0.9939223395,0.9982437318
0.4937106918,0.9959482263,0.9992193094
0.4968553459,0.9979741132,0.9998048083
0.5000000000,1.0000000000,1.0000000000
