k,ka,a_over_lambda,rcs_n1_over_pi_a2,rcs_n5_over_pi_a2,rcs_n10_over_pi_a2,rcs_n50_over_pi_a2
6.55,6.55,1.04246,0.209775,0.183668,0.775897,0.77397
6.6,6.6,1.05042,0.206609,0.232415,0.777274,0.775288
6.65,6.65,1.05838,0.203514,0.285332,0.795134,0.793132
6.7,6.7,1.06634,0.200488,0.341979,0.827936,0.82597
6.75,6.75,1.0743,0.197529,0.40194,0.873152,0.871288
6.8,6.8,1.08225,0.194635,0.464825,0.927458,0.925776
6.85,6.85,1.09021,0.191804,0.530267,0.986979,0.985573
6.9,6.9,1.09817,0.189034,0.597921,1.04755,1.04654
6.95,6.95,1.10613,0.186324,0.667468,1.10503,1.10453
7,7,1.11408,0.183672,0.738609,1.15553,1.1557
7.05,7.05,1.12204,0.181076,0.811067,1.19572,1.19672
7.1,7.1,1.13,0.178535,0.884584,1.223,1.22501
7.15,7.15,1.13796,0.176046,0.958921,1.23566,1.2389
7.2,7.2,1.14592,0.17361,1.03386,1.233,1.23769
7.25,7.25,1.15387,0.171224,1.10919,1.21532,1.22172
7.3,7.3,1.16183,0.168886,1.18474,1.18392,1.19228
7.35,7.35,1.16979,0.166596,1.26032,1.14095,1.15156
7.4,7.4,1.17775,0.164353,1.33579,1.08931,1.10246
7.45,7.45,1.1857,0.162154,1.41099,1.03239,1.04839
7.5,7.5,1.19366,0.159999,1.4858,0.973898,0.993063
7.55,7.55,1.20162,0.157887,1.5601,0.917545,0.940183
7.6,7.6,1.20958,0.155816,1.63377,0.86684,0.893253
7.65,7.65,1.21754,0.153786,1.70672,0.824841,0.855312
7.7,7.7,1.22549,0.151796,1.77887,0.793962,0.828744
7.75,7.75,1.23345,0.149843,1.85013,0.775822,0.815126
7.8,7.8,1.24141,0.147928,1.92042,0.771159,0.815138
7.85,7.85,1.24937,0.14605,1.9897,0.779798,0.828528
7.9,7.9,1.25732,0.144207,2.05789,0.800691,0.854154
7.95,7.95,1.26528,0.142399,2.12496,0.832011,0.890072
8,8,1.27324,0.140624,2.19085,0.871301,0.933684
8.05,8.05,1.2812,0.138883,2.25553,0.915658,0.981925
8.1,8.1,1.28916,0.137174,2.31898,0.961951,1.03147
8.15,8.15,1.29711,0.135496,2.38115,1.00705,1.07897
8.2,8.2,1.30507,0.133848,2.44203,1.04802,1.12127
8.25,8.25,1.31303,0.132231,2.50159,1.08239,1.1556
8.3,8.3,1.32099,0.130643,2.55983,1.10825,1.17977
8.35,8.35,1.32894,0.129083,2.61673,1.12446,1.19231
8.4,8.4,1.3369,0.127551,2.67229,1.13066,1.19255
8.45,8.45,1.34486,0.126046,2.7265,1.12736,1.18066
8.5,8.5,1.35282,0.124567,2.77935,1.11589,1.1576
8.55,8.55,1.36077,0.123114,2.83085,1.0983,1.12508
8.6,8.6,1.36873,0.121687,2.881,1.07725,1.08542
8.65,8.65,1.37669,0.120284,2.9298,1.05583,1.0414
8.7,8.7,1.38465,0.118906,2.97726,1.03732,0.996013
8.75,8.75,1.39261,0.117551,3.02339,1.02501,0.952332
8.8,8.8,1.40056,0.116219,3.0682,1.02198,0.91325
8.85,8.85,1.40852,0.114909,3.1117,1.03086,0.881307
8.9,8.9,1.41648,0.113622,3.1539,1.05367,0.858524
8.95,8.95,1.42444,0.112356,3.19481,1.09169,0.846276
9,9,1.43239,0.111111,3.23446,1.14533,0.84521
9.05,9.05,1.44035,0.109887,3.27285,1.21413,0.855217
9.1,9.1,1.44831,0.108682,3.31,1.29673,0.875446
9.15,9.15,1.45627,0.107498,3.34593,1.39096,0.904382
9.2,9.2,1.46423,0.106333,3.38065,1.49392,0.939945
9.25,9.25,1.47218,0.105186,3.41419,1.60213,0.979649
9.3,9.3,1.48014,0.104058,3.44657,1.71171,1.02076
9.35,9.35,1.4881,0.102948,3.47779,1.81859,1.0605
9.4,9.4,1.49606,0.101856,3.50789,1.91866,1.09621
9.45,9.45,1.50401,0.100781,3.53687,2.008,1.12555
9.5,9.5,1.51197,0.0997229,3.56477,2.08307,1.14662
9.55,9.55,1.51993,0.0986814,3.5916,2.14083,1.15814
9.6,9.6,1.52789,0.0976561,3.61737,2.17891,1.15945
9.65,9.65,1.53585,0.0966468,3.64212,2.19564,1.1506
9.7,9.7,1.5438,0.095653,3.66586,2.19011,1.13234
9.75,9.75,1.55176,0.0946744,3.68861,2.1622,1.10601
9.8,9.8,1.55972,0.0937108,3.71039,2.11251,1.07349
9.85,9.85,1.56768,0.0927619,3.73122,2.04229,1.03705
9.9,9.9,1.57563,0.0918273,3.75112,1.95339,0.999176
9.95,9.95,1.58359,0.0909067,3.77012,1.8481,0.962423
10,10,1.59155,0.0899999,3.78822,1.72905,0.92923
