b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
5.0000000000e-01,1.5088320320e-05,1.0000000000e-02,5.9527669910e+03,9.8603822411e-01,5.9527143579e+03,2.5032423115e+01
5.0000000000e-01,1.6167426506e-05,1.0715193052e-02,5.5506161411e+03,9.1942447785e-01,5.5505596947e+03,2.5032414928e+01
5.0000000000e-01,1.7323709618e-05,1.1481536215e-02,5.1753070891e+03,8.5725690575e-01,5.1752465492e+03,2.5032405527e+01
5.0000000000e-01,1.8562689294e-05,1.2302687708e-02,4.8250482490e+03,7.9923874291e-01,4.8249833145e+03,2.5032394734e+01
5.0000000000e-01,1.9890279935e-05,1.3182567386e-02,4.4981676194e+03,7.4509303285e-01,4.4980979660e+03,2.5032382342e+01
5.0000000000e-01,2.1312818937e-05,1.4125375446e-02,4.1931048033e+03,6.9456130570e-01,4.1930300824e+03,2.5032368113e+01
5.0000000000e-01,2.2837096940e-05,1.5135612484e-02,3.9084035620e+03,6.4740234469e-01,3.9083233982e+03,2.5032351777e+01
5.0000000000e-01,2.4470390247e-05,1.6218100974e-02,3.6427048647e+03,6.0339103499e-01,3.6426188538e+03,2.5032333021e+01
5.0000000000e-01,2.6220495556e-05,1.7378008287e-02,3.3947404036e+03,5.6231728940e-01,3.3946481100e+03,2.5032311485e+01
5.0000000000e-01,2.8095767181e-05,1.8620871367e-02,3.1633265403e+03,5.2398504574e-01,3.1632274950e+03,2.5032286760e+01
5.0000000000e-01,3.0105156930e-05,1.9952623150e-02,2.9473586570e+03,4.8821133102e-01,2.9472523541e+03,2.5032258371e+01
5.0000000000e-01,3.2258256838e-05,2.1379620895e-02,2.7458058821e+03,4.5482538789e-01,2.7456917762e+03,2.5032225776e+01
5.0000000000e-01,3.4565344955e-05,2.2908676528e-02,2.5577127132e+03,4.2366894343e-01,2.5575902160e+03,2.5032188352e+01
5.0000000000e-01,3.7037434412e-05,2.4547089157e-02,2.3821691812e+03,3.9459126696e-01,2.3820376570e+03,2.5032145383e+01
5.0000000000e-01,3.9686325989e-05,2.6302679919e-02,2.2183425186e+03,3.6745441587e-01,2.2182012812e+03,2.5032096049e+01
5.0000000000e-01,4.2524664451e-05,2.8183829313e-02,2.0654507031e+03,3.4212885308e-01,2.0652990108e+03,2.5032039406e+01
5.0000000000e-01,4.5565998908e-05,3.0199517204e-02,1.9227639298e+03,3.1849369102e-01,1.9226009805e+03,2.5031974371e+01
5.0000000000e-01,4.8824847492e-05,3.2359365693e-02,1.7896011318e+03,2.9643611525e-01,1.7894260574e+03,2.5031899701e+01
5.0000000000e-01,5.2316766663e-05,3.4673685045e-02,1.6653267331e+03,2.7585084666e-01,1.6651385937e+03,2.5031813968e+01
5.0000000000e-01,5.6058425467e-05,3.7153522910e-02,1.5493476184e+03,2.5663963943e-01,1.5491453954e+03,2.5031715534e+01
5.0000000000e-01,6.0067685109e-05,3.9810717055e-02,1.4411103038e+03,2.3871081244e-01,1.4408928921e+03,2.5031602517e+01
5.0000000000e-01,6.4363684216e-05,4.2657951880e-02,1.3400982940e+03,2.2197881153e-01,1.3398644943e+03,2.5031472757e+01
5.0000000000e-01,6.8966930193e-05,4.5708818961e-02,1.2458296130e+03,2.0636380040e-01,1.2455781218e+03,2.5031323772e+01
5.0000000000e-01,7.3899397125e-05,4.8977881937e-02,1.1578544945e+03,1.9179127812e-01,1.1575838941e+03,2.5031152716e+01
5.0000000000e-01,7.9184630665e-05,5.2480746025e-02,1.0757532208e+03,1.7819172110e-01,1.0754619674e+03,2.5030956317e+01
