eps_r_prime,rho_m,k0_rho,abs_v,normalized_abs_v,re_v,im_v
2.2000000000e+00,3.6194359476e-02,7.5857757503e+00,1.2105114717e+00,6.3385745922e-04,3.3356603479e-01,1.1636458755e+00
2.2000000000e+00,4.1556684910e-02,8.7096358996e+00,1.0836143932e+00,5.6741062114e-04,1.0725613325e+00,1.5437726906e-01
4.3400000000e+00,4.7713458277e-05,1.0000000000e-02,3.8412867219e+03,2.0114045167e+00,3.8412422218e+03,1.8489799594e+01
4.3400000000e+00,5.4782379915e-05,1.1481536215e-02,3.3348055307e+03,1.7461968846e+00,3.3347542727e+03,1.8489671035e+01
4.3400000000e+00,6.2898587893e-05,1.3182567386e-02,2.8936686795e+03,1.5152053656e+00,2.8936096082e+03,1.8489501561e+01
4.3400000000e+00,7.2217241477e-05,1.5135612484e-02,2.5094487485e+03,1.3140171282e+00,2.5093806343e+03,1.8489278153e+01
4.3400000000e+00,8.2916487336e-05,1.7378008287e-02,2.1747958913e+03,1.1387835888e+00,2.1747172980e+03,1.8488983647e+01
4.3400000000e+00,9.5200865217e-05,1.9952623150e-02,1.8833370117e+03,9.8616761673e-01,1.8832462588e+03,1.8488595415e+01
4.3400000000e+00,1.0930521817e-04,2.2908676528e-02,1.6294491518e+03,8.5322487514e-01,1.6293442635e+03,1.8488083633e+01
4.3400000000e+00,1.2549918209e-04,2.6302679919e-02,1.4083065897e+03,7.3742848177e-01,1.4081852386e+03,1.8487408986e+01
4.3400000000e+00,1.4409234041e-04,3.0199517204e-02,1.2156956236e+03,6.3657202527e-01,1.2155550575e+03,1.8486519648e+01
4.3400000000e+00,1.6544014247e-04,3.4673685045e-02,1.0479248955e+03,5.4872260794e-01,1.0477618424e+03,1.8485347309e+01
4.3400000000e+00,1.8995069872e-04,3.9810717055e-02,9.0179561352e+02,4.7220525347e-01,9.0160616548e+02,1.8483801928e+01
4.3400000000e+00,2.1809258264e-04,4.5708818961e-02,7.7454250973e+02,4.0557199064e-01,7.7432197680e+02,1.8481764830e+01
4.3400000000e+00,2.5040378858e-04,5.2480746025e-02,6.6366228382e+02,3.4751202185e-01,6.6340496726e+02,1.8479079603e+01
4.3400000000e+00,2.8750201669e-04,6.0255958607e-02,5.6711015660e+02,2.9695464385e-01,5.6680912496e+02,1.8475540117e+01
4.3400000000e+00,3.3009648166e-04,6.9183097092e-02,4.8302588718e+02,2.5292578281e-01,4.8267259552e+02,1.8470874744e+01
4.3400000000e+00,3.7900147086e-04,7.9432823472e-02,4.0982496404e+02,2.1459574445e-01,4.0940878723e+02,1.8464725590e+01
4.3400000000e+00,4.3515191132e-04,9.1201083936e-02,3.4617321807e+02,1.8126592072e-01,3.4568084998e+02,1.8456621172e+01
4.3400000000e+00,4.9962124288e-04,1.0471285481e-01,2.9072013592e+02,1.5222914529e-01,2.9013435630e+02,1.8445940501e+01
4.3400000000e+00,5.7364193939e-04,1.2022644346e-01,2.4256166316e+02,1.2701203013e-01,2.4186034556e+02,1.8431865906e+01
4.3400000000e+00,6.5862907015e-04,1.3803842646e-01,2.0079377188e+02,1.0514120109e-01,1.9994771425e+02,1.8413321132e+01
4.3400000000e+00,7.5620735212e-04,1.5848931925e-01,1.6463928989e+02,8.6209709217e-02,1.6360912105e+02,1.8388890264e+01
4.3400000000e+00,8.6824220994e-04,1.8197008586e-01,1.3348582347e+02,6.9896888122e-02,1.3221760927e+02,1.8356711734e+01
4.3400000000e+00,9.9687543768e-04,2.0892961309e-01,1.0679450858e+02,5.5920573617e-02,1.0521241375e+02,1.8314340144e+01
4.3400000000e+00,1.1445661439e-03,2.3988329190e-01,8.4093587675e+01,4.4033740338e-02,8.2087491290e+01,1.8258566804e+01
4.3400000000e+00,1.3141377632e-03,2.7542287033e-01,6.5115246198e+01,3.4096153136e-02,6.2524349115e+01,1.8185187797e+01
4.3400000000e+00,1.5088320320e-03,3.1622776602e-01,4.9583450072e+01,2.5963272895e-02,4.6166191380e+01,1.8088706269e+01
4.3400000000e+00,1.7323709618e-03,3.6307805477e-01,3.7363131904e+01,1.9564374573e-02,3.2762354001e+01,1.7961953847e+01
4.3400000000e+00,1.9890279935e-03,4.1686938347e-01,2.8323088242e+01,1.4830756395e-02,2.2034368551e+01,1.7795615475e+01
4.3400000000e+00,2.2837096940e-03,4.7863009232e-01,2.2331354079e+01,1.1693317815e-02,1.3773735994e+01,1.7577644090e+01
4.3400000000e+00,2.6220495556e-03,5.4954087386e-01,1.8943742230e+01,9.9194700740e-03,7.7351640222e+00,1.7292559302e+01
4.3400000000e+00,3.0105156930e-03,6.3095734448e-01,1.7311672752e+01,9.0648731235e-03,3.6586704318e+00,1.6920642545e+01
4.3400000000e+00,3.4565344955e-03,7.2443596007e-01,1.6485394520e+01,8.6322108704e-03,1.2612228428e+00,1.6437078494e+01
4.3400000000e+00,3.9686325989e-03,8.3176377110e-01,1.5812976602e+01,8.2801141553e-03,2.3952600091e-01,1.5811162396e+01
