b,rho_m,k_rho,phase_deg
5.0000000000e-01,1.6544014247e-03,1.0964781961e+00,1.0244184859e+02
5.0000000000e-01,1.7727230652e-03,1.1748975549e+00,1.0692920065e+02
5.0000000000e-01,1.8995069872e-03,1.2589254118e+00,1.1047630671e+02
5.0000000000e-01,2.0353584072e-03,1.3489628826e+00,1.1315335971e+02
5.0000000000e-01,2.1809258264e-03,1.4454397707e+00,1.1508711656e+02
5.0000000000e-01,2.3369041263e-03,1.5488166189e+00,1.1635765761e+02
5.0000000000e-01,2.5040378858e-03,1.6595869074e+00,1.1704647591e+02
5.0000000000e-01,2.6831249357e-03,1.7782794100e+00,1.1720691947e+02
5.0000000000e-01,2.8750201669e-03,1.9054607180e+00,1.1688165460e+02
5.0000000000e-01,3.0806396118e-03,2.0417379447e+00,1.1610045320e+02
5.0000000000e-01,3.3009648166e-03,2.1877616239e+00,1.1487985733e+02
5.0000000000e-01,3.5370475269e-03,2.3442288153e+00,1.1324522328e+02
5.0000000000e-01,3.7900147086e-03,2.5118864315e+00,1.1119131098e+02
5.0000000000e-01,4.0610739274e-03,2.6915348039e+00,1.0871841138e+02
5.0000000000e-01,4.3515191132e-03,2.8840315031e+00,1.0586057358e+02
5.0000000000e-01,4.6627367369e-03,3.0902954325e+00,1.0253335763e+02
5.0000000000e-01,4.9962124288e-03,3.3113112148e+00,9.8806385530e+01
5.0000000000e-01,5.3535380705e-03,3.5481338923e+00,9.4645987487e+01
5.0000000000e-01,5.7364193939e-03,3.8018939632e+00,9.0043496786e+01
5.0000000000e-01,6.1466841235e-03,4.0738027780e+00,8.4973575531e+01
5.0000000000e-01,6.5862907015e-03,4.3651583224e+00,7.9472289369e+01
5.0000000000e-01,7.0573376366e-03,4.6773514129e+00,7.3477438645e+01
5.0000000000e-01,7.5620735212e-03,5.0118723363e+00,6.6987129193e+01
5.0000000000e-01,8.1029077656e-03,5.3703179637e+00,5.9982405992e+01
5.0000000000e-01,8.6824220994e-03,5.7543993734e+00,5.2439402840e+01
5.0000000000e-01,9.3033828957e-03,6.1659500186e+00,4.4332606236e+01
5.0000000000e-01,9.9687543768e-03,6.6069344801e+00,3.5627343150e+01
5.0000000000e-01,1.0681712764e-02,7.0794578438e+00,2.6292655264e+01
5.0000000000e-01,1.1445661439e-02,7.5857757503e+00,1.6288869377e+01
5.0000000000e-01,1.2264247194e-02,8.1283051616e+00,5.5736333349e+00
5.0000000000e-01,1.3141377632e-02,8.7096358996e+00,-5.8986439369e+00
5.0000000000e-01,1.4081239830e-02,9.3325430080e+00,-1.8178627275e+01
2.0000000000e-01,1.5088320320e-05,1.0000000000e-02,2.2060801872e-02
2.0000000000e-01,1.6167426506e-05,1.0715193052e-02,2.3675544240e-02
2.0000000000e-01,1.7323709618e-05,1.1481536215e-02,2.5411386401e-02
2.0000000000e-01,1.8562689294e-05,1.2302687708e-02,2.7277853463e-02
2.0000000000e-01,1.9890279935e-05,1.3182567386e-02,2.9285287416e-02
2.0000000000e-01,2.1312818937e-05,1.4125375446e-02,3.1444927449e-02
2.0000000000e-01,2.2837096940e-05,1.5135612484e-02,3.3768999687e-02
2.0000000000e-01,2.4470390247e-05,1.6218100974e-02,3.6270817663e-02
2.0000000000e-01,2.6220495556e-05,1.7378008287e-02,3.8964895063e-02
2.0000000000e-01,2.8095767181e-05,1.8620871367e-02,4.1867072540e-02
2.0000000000e-01,3.0105156930e-05,1.9952623150e-02,4.4994605486e-02
2.0000000000e-01,3.2258256838e-05,2.1379620895e-02,4.8366508216e-02
2.0000000000e-01,3.4565344955e-05,2.2908676528e-02,5.2003516671e-02
2.0000000000e-01,3.7037434412e-05,2.4547089157e-02,5.5928413759e-02
2.0000000000e-01,3.9686325989e-05,2.6302679919e-02,6.0166244564e-02
2.0000000000e-01,4.2524664451e-05,2.8183829313e-02,6.4744588133e-02
2.0000000000e-01,4.5565998908e-05,3.0199517204e-02,6.9693869012e-02
2.0000000000e-01,4.8824847492e-05,3.2359365693e-02,7.5047715436e-02
2.0000000000e-01,5.2316766663e-05,3.4673685045e-02,8.0843372435e-02
2.0000000000e-01,5.6058425467e-05,3.7153522910e-02,8.7122179806e-02
2.0000000000e-01,6.0067685109e-05,3.9810717055e-02,9.3930127024e-02
2.0000000000e-01,6.4363684216e-05,4.2657951880e-02,1.0131849979e-01
2.0000000000e-01,6.8966930193e-05,4.5708818961e-02,1.0934463622e-01
2.0000000000e-01,7.3899397125e-05,4.8977881937e-02,1.1807281491e-01
2.0000000000e-01,7.9184630665e-05,5.2480746025e-02,1.2757530240e-01
2.0000000000e-01,8.4847860436e-05,5.6234132519e-02,1.3793128111e-01
2.0000000000e-01,9.0916120465e-05,6.0255958607e-02,1.4923738622e-01
2.0000000000e-01,9.7418378235e-05,6.4565422903e-02,1.6159637139e-01
2.0000000000e-01,1.0438567296e-04,6.9183097092e-02,1.7512756391e-01
2.0000000000e-01,1.1185126377e-04,7.4131024130e-02,1.8996740679e-01
2.0000000000e-01,1.1985078845e-04,7.9432823472e-02,2.0627251917e-01
2.0000000000e-01,1.2842243357e-04,8.5113803820e-02,2.2422341165e-01
2.0000000000e-01,1.3760711679e-04,9.1201083936e-02,2.4402902264e-01
2.0000000000e-01,1.4744868218e-04,9.7723722096e-02,2.6593228971e-01
2.0000000000e-01,1.5799410949e-04,1.0471285481e-01,2.9021703261e-01
2.0000000000e-01,1.6929373843e-04,1.1220184543e-01,3.1721651687e-01
