x,y,phi,Ex,Ey
2.5000000000e-01,5.0000000000e-01,1.0000000000e+00,2.4344784038e+00,-1.9467159771e-01
3.1250000000e-01,5.0000000000e-01,6.9569019952e-01,3.7459314092e+00,-1.8441305639e-01
3.7500000000e-01,5.0000000000e-01,5.3175857385e-01,2.1801036979e+00,-1.7265926258e-01
4.3750000000e-01,5.0000000000e-01,4.2317723728e-01,1.5099021090e+00,-1.5979160091e-01
5.0000000000e-01,5.0000000000e-01,3.4302081022e-01,1.1414374383e+00,-1.4618896283e-01
5.6250000000e-01,5.0000000000e-01,2.8049755750e-01,9.0247811815e-01,-1.3220401757e-01
6.2500000000e-01,5.0000000000e-01,2.3021104545e-01,7.3224216089e-01,-1.1814447551e-01
6.8750000000e-01,5.0000000000e-01,1.8896728738e-01,6.0453064578e-01,-1.0426072650e-01
7.5000000000e-01,5.0000000000e-01,1.5464471473e-01,5.0598051119e-01,-9.0739996855e-02
8.1250000000e-01,5.0000000000e-01,1.2571972349e-01,4.2886854509e-01,-7.7706187074e-02
8.7500000000e-01,5.0000000000e-01,1.0103614659e-01,3.6832316666e-01,-6.5223999859e-02
9.3750000000e-01,5.0000000000e-01,7.9679327654e-02,3.2108534143e-01,-5.3305829339e-02
1.0000000000e+00,5.0000000000e-01,6.0900478913e-02,2.8489543520e-01,-4.1920046988e-02
1.0625000000e+00,5.0000000000e-01,4.4067398253e-02,2.5816461073e-01,-3.0999642580e-02
1.1250000000e+00,5.0000000000e-01,2.8629902572e-02,2.3978864362e-01,-2.0450545853e-02
1.1875000000e+00,5.0000000000e-01,1.4093817801e-02,2.2903922057e-01,-1.0159296627e-02
1.2500000000e+00,5.0000000000e-01,0.0000000000e+00,2.2550108482e-01,-0.0000000000e+00
0.0000000000e+00,5.6250000000e-01,8.7684237635e-01,4.9302341948e-02,1.9212196364e+00
6.2500000000e-02,5.6250000000e-01,8.7376097997e-01,1.1001851822e-01,1.9591081441e+00
1.2500000000e-01,5.6250000000e-01,8.6309006157e-01,2.7806434462e-01,2.0832293648e+00
1.8750000000e-01,5.6250000000e-01,8.3900293690e-01,6.3282234974e-01,2.3285246550e+00
2.5000000000e-01,5.6250000000e-01,7.8398726785e-01,1.5755488816e+00,2.7609055374e+00
3.1250000000e-01,5.6250000000e-01,6.4205932669e-01,2.1152078581e+00,1.0137331658e+00
3.7500000000e-01,5.6250000000e-01,5.1958628559e-01,1.7499764710e+00,4.0434879876e-01
4.3750000000e-01,5.6250000000e-01,4.2331226782e-01,1.3780475270e+00,1.6017626872e-01
5.0000000000e-01,5.6250000000e-01,3.4733034471e-01,1.0965011961e+00,5.0257021797e-02
5.6250000000e-01,5.6250000000e-01,2.8624961831e-01,8.8826106852e-01,-3.0024192633e-03
6.2500000000e-01,5.6250000000e-01,2.3629771115e-01,7.3105188129e-01,-2.9208017763e-02
6.8750000000e-01,5.6250000000e-01,1.9486813315e-01,6.0963486254e-01,-4.1175146881e-02
7.5000000000e-01,5.6250000000e-01,1.6009335333e-01,5.1433581443e-01,-4.5117554869e-02
8.1250000000e-01,5.6250000000e-01,1.3057615635e-01,4.3891364357e-01,-4.4341417908e-02
8.7500000000e-01,5.6250000000e-01,1.0522914788e-01,3.7919640755e-01,-4.0732292906e-02
9.3750000000e-01,5.6250000000e-01,8.3176605405e-02,3.3230084104e-01,-3.5416605406e-02
1.0000000000e+00,5.6250000000e-01,6.3691542753e-02,2.9618864816e-01,-2.9084667336e-02
1.0625000000e+00,5.6250000000e-01,4.6153024385e-02,2.6940893638e-01,-2.2162660592e-02
1.1250000000e+00,5.6250000000e-01,3.0015425705e-02,2.5094519761e-01,-1.4911989077e-02
1.1875000000e+00,5.6250000000e-01,1.4784874683e-02,2.4012340564e-01,-7.4914994681e-03
1.2500000000e+00,5.6250000000e-01,0.0000000000e+00,2.3655799493e-01,-0.0000000000e+00
0.0000000000e+00,6.2500000000e-01,7.5984754544e-01,7.5777015406e-02,1.7961402791e+00
6.2500000000e-02,6.2500000000e-01,7.5511148198e-01,1.6200972838e-01,1.8121592546e+00
1.2500000000e-01,6.2500000000e-01,7.3959632939e-01,3.6941651088e-01,1.8547256458e+00
1.8750000000e-01,6.2500000000e-01,7.0893441812e-01,6.7767617256e-01,1.8940107086e+00
2.5000000000e-01,6.2500000000e-01,6.5488680782e-01,1.1196869145e+00,1.8106822105e+00
3.1250000000e-01,6.2500000000e-01,5.6897355380e-01,1.3893746706e+00,1.1546097599e+00
3.7500000000e-01,6.2500000000e-01,4.8121497400e-01,1.3265468009e+00,6.9153146141e-01
4.3750000000e-01,6.2500000000e-01,4.0315520369e-01,1.1558103320e+00,4.1565901902e-01
5.0000000000e-01,6.2500000000e-01,3.3673868249e-01,9.7825875029e-01,2.5387218450e-01
5.6250000000e-01,6.2500000000e-01,2.8087285990e-01,8.2301307859e-01,1.5686821739e-01
6.2500000000e-01,6.2500000000e-01,2.3386204767e-01,6.9406943327e-01,9.7074178335e-02
6.8750000000e-01,6.2500000000e-01,1.9411418074e-01,5.8862110867e-01,5.9408000650e-02
7.5000000000e-01,6.2500000000e-01,1.6028440909e-01,5.0281424016e-01,3.5405213913e-02
8.1250000000e-01,6.2500000000e-01,1.3126240072e-01,4.3325380705e-01,2.0118416708e-02
8.7500000000e-01,6.2500000000e-01,1.0612768320e-01,3.7724797916e-01,1.0530935893e-02
9.3750000000e-01,6.2500000000e-01,8.4106403330e-02,3.3273296700e-01,4.7307440159e-03
1.0000000000e+00,6.2500000000e-01,6.4536062330e-02,2.9814938002e-01,1.4637627487e-03
